classification,value,Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Direction,Closed PnL,Crossed,Fee,Timestamp,time,Win,day,month,year
Greed,74.0,WLD,2.4106,524.9,1265.32,SELL,-3208.3,Open Short,0.0,True,0.442863,1720000000000.0,11:04:00,0,29,7,2024
Fear,25.0,MELANIA,0.496,1628.5,807.74,SELL,-1116359.4,Open Short,0.0,False,0.077542,1740000000000.0,07:58:00,0,11,4,2025
Neutral,49.0,VINE,0.14787,7337.0,1084.92,SELL,46760.0,Close Long,4.387526,True,0.379722,1740000000000.0,10:08:00,1,6,2,2025
Greed,64.0,BTC,42909.0,0.17517,7516.37,SELL,2.35897,Close Long,3.976359,False,-0.150327,1710000000000.0,08:14:00,1,6,2,2024
Fear,25.0,HYPE,19.454,82.25,1600.09,BUY,-179.83,Close Short,17.1738,True,0.560032,1740000000000.0,21:34:00,1,25,2,2025
Greed,74.0,@107,30.0,250.0,7500.0,BUY,33500.27407,Buy,0.0,True,0.075,1730000000000.0,21:19:00,0,20,12,2024
Extreme Fear,23.0,XRP,1.998,4100.0,8191.8,SELL,-57066.0,Open Short,0.0,False,0.81918,1740000000000.0,00:11:00,0,7,4,2025
Extreme Fear,20.0,BTC,88257.0,0.63,55601.91,BUY,-4.18179,Close Short,195.867,True,16.680572,1740000000000.0,20:51:00,1,5,3,2025
Fear,25.0,HYPE,11.504,179.87,2069.22,SELL,26515.86,Close Long,0.971298,True,0.620767,1740000000000.0,22:37:00,1,3,4,2025
Extreme Fear,20.0,SOL,126.15,8.0,1009.2,SELL,2863.04,Close Long,2.7024,True,0.2523,1740000000000.0,04:39:00,1,10,3,2025
Extreme Greed,81.0,PENGU,0.028739,9712.0,279.11,BUY,-9712.0,Close Short,0.116544,True,0.093781,1730000000000.0,07:49:00,1,18,12,2024
Extreme Greed,75.0,COMP,91.04,9.08,826.64,SELL,42.6,Close Long,29.056,False,0.079357,1730000000000.0,01:39:00,1,19,12,2024
Neutral,49.0,BERA,12.694,257.6,3269.97,BUY,121.2,Open Long,0.0,True,1.144491,1740000000000.0,20:19:00,0,6,2,2025
Fear,32.0,TRUMP,8.01,63.2,506.23,SELL,-47368.6,Open Short,0.0,False,0.048598,1750000000000.0,08:41:00,0,19,4,2025
Extreme Fear,20.0,HYPE,17.234,58.02,999.92,BUY,-1686.35,Close Short,35.096298,True,0.299975,1740000000000.0,09:39:00,1,5,3,2025
Fear,28.0,HYPE,11.307,23.94,270.69,BUY,15058.36,Open Long,0.0,True,0.081206,1740000000000.0,16:40:00,0,4,4,2025
Extreme Greed,83.0,HYPE,21.29,5.0,106.45,SELL,989.19,Close Long,2.435,False,0.005322,1730000000000.0,12:47:00,1,14,12,2024
Fear,38.0,HYPE,15.984,12.51,199.96,SELL,-9195.01,Open Short,0.0,True,0.069985,1740000000000.0,00:43:00,0,15,4,2025
Greed,72.0,HYPE,19.2,222.23,4266.82,SELL,-11135.88,Open Short,0.0,False,0.21334,1750000000000.0,05:06:00,0,23,4,2025
Fear,44.0,HYPE,13.727,145.58,1998.38,SELL,191706.78,Close Long,149.758146,True,0.699431,1740000000000.0,17:27:00,1,2,4,2025
Neutral,47.0,HYPE,23.708,24.2,573.73,BUY,-25823.16,Close Short,42.19512,True,0.200806,1740000000000.0,21:11:00,1,18,2,2025
Neutral,49.0,HYPE,21.663,54.87,1188.65,BUY,9337.16,Open Long,0.0,True,0.416027,1740000000000.0,13:22:00,0,24,2,2025
Neutral,50.0,BTC,93720.0,0.0125,1171.5,BUY,0.1551,Open Long,0.0,True,0.410025,1740000000000.0,19:24:00,0,10,1,2025
Extreme Greed,75.0,FTT,2.547,51.9,132.19,BUY,-158.0,Close Short,8.106261,True,0.044415,1730000000000.0,07:50:00,1,19,12,2024
Neutral,49.0,@107,24.386,25.71,626.96,BUY,269.7612999,Buy,0.0,True,0.00899848,1740000000000.0,12:05:00,0,20,2,2025
Greed,60.0,BTC,43529.0,0.045,1958.8,SELL,0.0,Open Short,0.0,True,0.489701,1710000000000.0,03:49:00,0,31,1,2024
Fear,25.0,HYPE,20.267,10.71,217.06,BUY,139283.8,Open Long,0.0,False,0.020836,1740000000000.0,03:44:00,0,25,2,2025
Fear,34.0,@107,13.236,56.28,744.92,SELL,2880.564665,Sell,10.751769,True,0.223476,1740000000000.0,15:39:00,1,12,3,2025
Fear,39.0,PAXG,3363.0,1.733,5828.08,SELL,-123.461,Open Short,0.0,False,0.279746,1750000000000.0,03:55:00,0,21,4,2025
Neutral,53.0,@4,2.6966,10.0,26.97,SELL,4176.0,Sell,0.0,True,0.009438,1720000000000.0,19:52:00,0,22,6,2024
Neutral,45.0,HYPE,15.642,127.21,1989.82,SELL,7787.72,Close Long,4.70677,True,0.596945,1740000000000.0,00:06:00,1,24,3,2025
Fear,32.0,ETH,2034.0,0.26,528.84,SELL,13.34,Close Long,1.0478,False,0.052884,1740000000000.0,19:39:00,1,19,3,2025
Fear,26.0,ONDO,1.1765,62.0,72.94,BUY,500.0,Open Long,0.0,False,0.003647,1740000000000.0,23:58:00,0,2,3,2025
Fear,34.0,HYPE,14.4,12.4,178.56,SELL,58971.83,Close Long,13.84956,False,0.0,1740000000000.0,01:20:00,1,12,3,2025
Neutral,49.0,HYPE,22.001,168.32,3703.21,SELL,73500.47,Close Long,17.942912,True,1.244277,1740000000000.0,18:55:00,1,24,2,2025
Greed,74.0,ZRO,5.27,9.5,50.06,BUY,-22439.8,Close Short,-3.583875,False,0.005006,1720000000000.0,08:36:00,0,21,7,2024
Fear,44.0,ETH,2654.5,4.0,10618.0,SELL,381.8358,Close Long,-28.84,False,0.5309,1740000000000.0,20:52:00,0,3,2,2025
Greed,70.0,@107,26.875,8.13,218.49,BUY,265.236133,Buy,0.0,True,0.00284546,1740000000000.0,21:33:00,0,30,1,2025
Fear,39.0,BTC,82024.0,1e-05,0.82,SELL,3.14148,Close Long,-0.005069,False,4.1e-05,1740000000000.0,00:32:00,0,10,4,2025
Neutral,49.0,HYPE,21.496,0.89,19.13,BUY,96061.86,Open Long,0.0,False,0.001836,1740000000000.0,13:35:00,0,24,2,2025
Extreme Greed,78.0,PENGU,0.040503,61723.0,2499.97,BUY,-168954.0,Close Short,187.576197,True,0.874988,1740000000000.0,20:48:00,1,7,1,2025
Greed,69.0,HYPE,23.171,9.99,231.48,SELL,-248.68,Open Short,0.0,True,0.081017,1740000000000.0,01:27:00,0,9,1,2025
Fear,44.0,@107,22.488,19.39,436.04,BUY,3045.498048,Buy,0.0,True,0.00651498,1740000000000.0,14:21:00,0,8,2,2025
Extreme Fear,24.0,HYPE,13.42,10.0,134.2,BUY,53577.26,Open Long,0.0,False,0.0,1740000000000.0,05:54:00,0,11,3,2025
Greed,74.0,ZRO,5.13,4.2,21.55,BUY,-26567.4,Close Short,-0.99645,False,0.002154,1720000000000.0,01:23:00,0,21,7,2024
Greed,72.0,APE,1.3255,188.6,249.99,SELL,0.0,Open Short,0.0,True,0.087496,1720000000000.0,22:52:00,0,29,5,2024
Fear,34.0,@107,12.478,25.0,311.95,SELL,1060.723629,Sell,3.420311,True,0.109182,1740000000000.0,07:43:00,1,31,3,2025
Extreme Greed,77.0,TRUMP,33.641,1.8,60.55,SELL,-467.0,Open Short,0.0,False,0.006055,1740000000000.0,10:06:00,0,19,1,2025
Neutral,49.0,HYPE,24.647,18.7,460.9,BUY,69.16,Open Long,0.0,False,0.023044,1740000000000.0,08:46:00,0,20,2,2025
Neutral,46.0,@107,22.9,213.01,4877.93,BUY,1844.389766,Buy,0.0,False,0.02130096,1740000000000.0,00:59:00,0,12,2,2025
Extreme Greed,75.0,@107,25.376,3708.62,94109.94,SELL,30198.86021,Sell,684.910563,True,28.232982,1730000000000.0,13:13:00,1,19,12,2024
Fear,32.0,HYPE,14.568,153.67,2238.66,BUY,-1457.31,Close Short,-14.491081,True,0.671599,1740000000000.0,15:30:00,0,19,3,2025
Fear,27.0,@8,0.029557,5334.0,157.66,BUY,724325.3721,Buy,0.0,True,1.86686,1720000000000.0,01:32:00,0,16,8,2024
Extreme Fear,21.0,HYPE,19.961,576.94,11516.3,SELL,102362.84,Close Long,72.809828,False,0.552781,1740000000000.0,01:39:00,1,26,2,2025
Greed,60.0,FARTCOIN,0.68825,727.0,500.36,SELL,150298.6,Close Long,29.74884,True,0.175125,1740000000000.0,06:52:00,1,2,2,2025
Extreme Greed,79.0,@107,26.02,7.73,201.13,BUY,7543.637519,Buy,0.0,False,0.00038647,1740000000000.0,06:51:00,0,26,12,2024
Neutral,46.0,ETH,2644.9,0.7554,1997.96,SELL,-1631.5812,Open Short,0.0,False,0.0,1740000000000.0,08:50:00,0,9,2,2025
Fear,37.0,SOL,138.99,7.27,1010.46,BUY,-4898.37,Close Short,0.157759,True,0.291011,1750000000000.0,14:36:00,1,20,4,2025
Neutral,47.0,FTT,2.2819,68.1,155.4,BUY,-1334.1,Close Short,1.227843,True,0.052213,1740000000000.0,07:29:00,1,18,2,2025
Greed,72.0,MELANIA,0.5157,9695.5,4999.97,BUY,-526706.0,Close Short,390.049965,True,1.679989,1750000000000.0,22:16:00,1,23,4,2025
Fear,25.0,SOL,148.3,12.56,1862.65,BUY,-8002.8,Close Short,4.022968,False,0.089406,1740000000000.0,08:58:00,1,6,3,2025
Neutral,49.0,HYPE,22.635,21.12,478.05,BUY,7266.65,Open Long,0.0,True,0.167317,1740000000000.0,07:14:00,0,24,2,2025
Neutral,52.0,SUSHI,1.0497,480.5,504.38,SELL,0.0,Open Short,0.0,True,0.126095,1710000000000.0,02:45:00,0,20,1,2024
Fear,32.0,BTC,83396.0,0.0003,25.02,SELL,3.9791,Close Long,0.2046,False,0.002501,1740000000000.0,13:58:00,1,19,3,2025
Greed,70.0,SEI,0.34937,13339.0,4660.25,BUY,56269.0,Open Long,0.0,True,1.165061,1700000000000.0,02:16:00,0,23,12,2023
Greed,61.0,BIO,0.070095,713.0,49.98,SELL,246724.0,Close Long,-0.074865,False,0.004997,1750000000000.0,22:03:00,0,27,4,2025
Fear,25.0,HYPE,11.122,17.98,199.97,BUY,83138.85,Open Long,0.0,True,0.059992,1740000000000.0,19:35:00,0,3,4,2025
Extreme Greed,80.0,HYPE,24.456,34.15,835.17,BUY,298.64,Open Long,0.0,False,0.041758,1730000000000.0,05:51:00,0,15,12,2024
Fear,27.0,HYPE,12.873,705.91,9087.18,SELL,31681.28,Close Long,69.108589,False,0.0,1740000000000.0,09:52:00,1,14,3,2025
Fear,44.0,HYPE,13.552,1.03,13.96,SELL,70633.06,Close Long,0.879311,True,0.004885,1740000000000.0,18:22:00,1,2,4,2025
Neutral,47.0,HYPE,15.559,60.97,948.63,BUY,10786.93,Open Long,0.0,True,0.284589,1740000000000.0,19:04:00,0,26,3,2025
Neutral,49.0,@107,22.675,55.03,1247.81,SELL,4926.926466,Sell,-32.468656,True,0.436731,1740000000000.0,07:09:00,0,24,2,2025
Extreme Greed,77.0,@107,22.1,91.49,2021.93,SELL,1425.698567,Sell,-3.397719,False,0.202192,1740000000000.0,05:32:00,0,19,1,2025
Fear,32.0,MAVIA,0.3434,5332.4,1831.15,SELL,11266.4,Close Long,87.611332,True,0.615264,1740000000000.0,01:28:00,1,22,3,2025
Extreme Greed,80.0,TNSR,0.60925,641.1,390.59,SELL,-3004.9,Open Short,0.0,True,0.136706,1730000000000.0,10:52:00,0,24,11,2024
Greed,65.0,@107,18.17,0.6,10.9,SELL,57.91532469,Sell,-0.544378,True,0.00327,1750000000000.0,06:35:00,0,26,4,2025
Extreme Fear,15.0,S,0.521,13996.0,7291.92,BUY,-123650.0,Close Short,-1298.8288,False,0.700023,1740000000000.0,07:51:00,0,4,3,2025
Greed,72.0,HYPE,25.019,3.0,75.06,BUY,501.11,Open Long,0.0,False,0.007505,1740000000000.0,10:01:00,0,4,2,2025
Greed,72.0,MELANIA,0.51556,88.0,45.37,BUY,-186177.5,Close Short,3.55256,True,0.015243,1750000000000.0,22:22:00,1,23,4,2025
Extreme Greed,83.0,PURR/USDC,0.58412,100.0,58.41,SELL,36899.44133,Sell,31.73735,True,0.020444,1730000000000.0,14:23:00,1,14,12,2024
Extreme Greed,79.0,FTT,3.75,13.0,48.75,SELL,-3896.6,Open Short,0.0,False,0.00468,1740000000000.0,20:06:00,0,26,12,2024
Neutral,50.0,@107,25.271,12.5,315.89,SELL,834.7296571,Sell,26.699954,True,0.11056,1740000000000.0,03:52:00,1,13,2,2025
Extreme Fear,20.0,PURR/USDC,0.07524,62615.0,4711.15,BUY,1941392.36,Buy,0.0,True,21.91524,1740000000000.0,00:06:00,0,10,3,2025
Greed,60.0,AI16Z,0.24504,909.5,222.86,SELL,-1003.8,Open Short,0.0,True,0.078002,1750000000000.0,13:37:00,0,25,4,2025
Neutral,49.0,HYPE,23.786,84.98,2021.33,SELL,-2692.94,Open Short,0.0,True,0.707466,1740000000000.0,01:00:00,0,20,2,2025
Extreme Greed,78.0,@107,12.311,20.29,249.79,BUY,5138.634145,Buy,0.0,True,0.00681731,1730000000000.0,02:32:00,0,10,12,2024
Fear,34.0,HYPE,11.45,3.55,40.65,BUY,20840.02,Open Long,0.0,False,0.002032,1740000000000.0,15:53:00,0,6,4,2025
Extreme Greed,87.0,FTT,3.1305,79.3,248.25,SELL,-4095.4,Open Short,0.0,True,0.083411,1730000000000.0,11:19:00,0,17,12,2024
Extreme Fear,24.0,BTC,77648.0,0.75815,58868.83,SELL,2.16905,Close Long,63.83623,True,17.660649,1740000000000.0,22:21:00,1,8,4,2025
Greed,72.0,BTC,94250.0,0.00043,40.53,BUY,-2.10752,Close Short,-1.16057,False,0.004052,1750000000000.0,14:25:00,0,23,4,2025
Neutral,50.0,BTC,39476.0,0.97452,38470.15,BUY,-0.97452,Close Short,-18.223524,True,9.617537,1710000000000.0,22:57:00,0,23,1,2024
Greed,65.0,BTC,94591.0,0.00752,711.32,BUY,68.7043,Open Long,0.0,True,0.163604,1750000000000.0,05:12:00,0,26,4,2025
Greed,70.0,FARTCOIN,0.71366,19.5,13.92,BUY,-28766.7,Close Short,0.23283,False,0.001335,1730000000000.0,22:23:00,1,23,12,2024
Extreme Fear,24.0,MELANIA,0.70227,5547.9,3896.12,SELL,133372.5,Close Long,424.525308,True,1.309097,1740000000000.0,07:20:00,1,11,3,2025
Neutral,49.0,HYPE,22.0,3.0,66.0,SELL,12427.36,Close Long,0.2247,False,0.0066,1740000000000.0,18:51:00,1,24,2,2025
Greed,72.0,FARTCOIN,0.8169,8541.3,6977.39,BUY,-301757.4,Close Short,41.766957,True,2.442085,1740000000000.0,05:30:00,1,29,1,2025
Extreme Fear,23.0,BTC,77768.0,0.02546,1979.97,SELL,-1.97454,Open Short,0.0,True,0.69299,1740000000000.0,05:05:00,0,7,4,2025
Extreme Greed,80.0,@107,22.75,16.32,371.28,BUY,5922.790888,Buy,0.0,False,0.00156668,1730000000000.0,02:08:00,0,15,12,2024
Fear,28.0,HYPE,15.914,62.8,999.4,SELL,6937.47,Close Long,13.16288,True,0.349789,1740000000000.0,20:16:00,1,8,3,2025
Greed,63.0,SOL,149.29,264.99,39560.36,BUY,-5654.63,Close Short,384.209001,True,9.890089,1750000000000.0,00:54:00,1,24,4,2025
Extreme Greed,83.0,@107,18.25,2.05,37.41,SELL,58510.12,Sell,37.41248,False,0.003741,1730000000000.0,18:55:00,1,12,12,2024
Fear,44.0,JELLY,0.005498,72012.0,395.92,BUY,-3353131.0,Close Short,6.193032,True,0.133029,1740000000000.0,17:35:00,1,19,2,2025
Fear,40.0,MELANIA,0.6595,120920.1,79746.81,BUY,-553933.8,Close Short,4920.238869,False,7.97468,1740000000000.0,17:00:00,1,27,3,2025
Fear,25.0,HYPE,11.715,10.0,117.15,BUY,40838.3,Open Long,0.0,False,0.005857,1740000000000.0,15:24:00,0,3,4,2025
Extreme Greed,78.0,ETH,3116.2,0.1961,611.09,SELL,-3.8763,Open Short,0.0,True,0.21388,1730000000000.0,05:34:00,0,10,11,2024
Fear,32.0,HYPE,12.491,2.52,31.48,BUY,519.41,Open Long,0.0,True,0.009443,1740000000000.0,19:59:00,0,30,3,2025
Fear,27.0,HYPE,13.667,361.21,4936.66,SELL,21973.97,Close Long,236.195219,True,1.727829,1740000000000.0,18:16:00,1,14,3,2025
Fear,43.0,BTC,83265.0,0.44,36636.6,SELL,-1.07206,Open Short,0.0,True,10.551339,1740000000000.0,04:55:00,0,12,4,2025
Fear,44.0,@107,24.481,81.24,1988.84,SELL,2635.235776,Sell,59.020315,True,0.696092,1740000000000.0,08:30:00,1,7,2,2025
Extreme Greed,83.0,@107,26.7,0.81,21.63,SELL,36777.96934,Sell,5.573244,False,0.001081,1730000000000.0,13:18:00,1,16,12,2024
Extreme Fear,15.0,@107,16.393,5.0,81.97,BUY,3311.721691,Buy,0.0,True,0.00174995,1740000000000.0,07:31:00,0,4,3,2025
Fear,43.0,BTC,97551.0,0.15427,15049.19,SELL,0.15427,Close Long,51.52618,True,4.514757,1740000000000.0,15:15:00,1,10,2,2025
Greed,61.0,HYPE,17.366,48.42,840.86,BUY,3754.88,Open Long,0.0,True,0.252258,1750000000000.0,11:46:00,0,27,4,2025
Greed,70.0,ZRO,5.38,49.0,263.62,BUY,-22579.7,Close Short,-15.51634,False,0.026362,1720000000000.0,17:45:00,0,22,7,2024
Fear,29.0,BTC,83222.0,2.0,166444.0,BUY,-4.0,Close Short,3088.0,False,8.3222,1740000000000.0,05:49:00,1,16,4,2025
Greed,63.0,SOL,149.34,11.72,1750.26,BUY,-155.65,Close Short,16.406828,True,0.437566,1750000000000.0,00:54:00,1,24,4,2025
Extreme Greed,75.0,TNSR,0.51692,1935.3,1000.4,SELL,-31479.5,Open Short,0.0,True,0.350138,1730000000000.0,22:06:00,0,9,11,2024
Neutral,47.0,HYPE,18.602,94.42,1756.4,SELL,-3215.7,Open Short,0.0,True,0.52692,1750000000000.0,18:21:00,0,22,4,2025
Greed,69.0,OP,1.7814,124.6,221.96,SELL,0.0,Open Short,0.0,True,0.077686,1740000000000.0,03:23:00,0,9,1,2025
Greed,73.0,@107,28.216,83.0,2341.93,SELL,1051.09,Sell,-2.785243,True,0.585482,1740000000000.0,18:43:00,0,24,12,2024
Greed,56.0,@142,93483.0,0.00495,462.74,BUY,1.224551247,Buy,0.0,False,4.95e-07,1750000000000.0,19:23:00,0,30,4,2025
Fear,25.0,HYPE,19.034,105.64,2010.75,SELL,4450.25,Close Long,157.012732,True,0.703763,1740000000000.0,19:19:00,1,25,2,2025
Greed,57.0,ETH,2973.3,1.27,3776.09,SELL,12.1571,Close Long,93.6117,True,1.321631,1720000000000.0,13:33:00,1,13,5,2024
Extreme Greed,82.0,ADA,0.78956,18.0,14.21,BUY,-470.0,Close Short,-0.00504,True,0.004974,1730000000000.0,17:01:00,0,21,11,2024
Fear,25.0,@107,18.551,106.96,1984.21,SELL,314.2760085,Sell,-42.530613,True,0.694475,1740000000000.0,08:59:00,0,25,2,2025
Greed,72.0,@107,18.99,435.15,8263.5,BUY,64.84351537,Buy,0.0,False,0.04351495,1750000000000.0,04:51:00,0,23,4,2025
Fear,32.0,HYPE,14.967,35.91,537.46,SELL,-3667.21,Open Short,0.0,True,0.180587,1740000000000.0,21:00:00,0,19,3,2025
Extreme Greed,87.0,FTT,3.05,33.2,101.26,SELL,-2806.8,Open Short,0.0,False,0.00972,1730000000000.0,09:08:00,0,17,12,2024
Fear,44.0,SUI,2.7382,183.5,502.46,BUY,5572.1,Open Long,0.0,True,0.168825,1740000000000.0,07:30:00,0,3,2,2025
Neutral,49.0,HYPE,21.09,10.0,210.9,BUY,24791.51,Open Long,0.0,False,0.020246,1740000000000.0,20:21:00,0,24,2,2025
Fear,26.0,HYPE,12.65,39.52,499.93,BUY,66585.53,Open Long,0.0,True,0.174974,1740000000000.0,15:08:00,0,29,3,2025
Greed,73.0,SUI,4.65,7.3,33.95,SELL,-441.8,Open Short,0.0,False,0.003258,1740000000000.0,03:41:00,0,25,12,2024
Neutral,45.0,FARTCOIN,0.60609,49.4,29.94,SELL,-466.7,Open Short,0.0,True,0.010479,1740000000000.0,22:19:00,0,24,3,2025
Greed,55.0,BERA,8.9429,55.9,499.91,SELL,17411.2,Close Long,106.236832,False,0.04999,1740000000000.0,05:07:00,1,21,2,2025
Greed,64.0,ETH,2296.1,2.6131,5999.94,BUY,-6.5205,Close Short,-8.544837,False,-0.119998,1710000000000.0,02:24:00,0,6,2,2024
Extreme Fear,23.0,HYPE,10.828,76.33,826.5,BUY,7507.02,Open Long,0.0,True,0.24795,1740000000000.0,20:03:00,0,7,4,2025
Fear,25.0,HYPE,20.577,24.3,500.02,BUY,56453.07,Open Long,0.0,True,0.168006,1740000000000.0,02:34:00,0,25,2,2025
Fear,32.0,MELANIA,0.70816,1129.6,799.94,SELL,-447711.1,Open Short,0.0,False,0.079993,1740000000000.0,09:50:00,0,19,3,2025
Neutral,47.0,POPCAT,0.31152,1605.0,499.99,SELL,-219323.0,Open Short,0.0,True,0.174996,1750000000000.0,16:42:00,0,22,4,2025
Fear,39.0,PAXG,3088.2,0.165,509.55,BUY,-62.126,Close Short,0.11418,True,0.171209,1740000000000.0,00:08:00,1,10,4,2025
Extreme Greed,75.0,WLD,6.331,615.4,3896.1,BUY,2281.5,Open Long,0.0,False,-0.077921,1710000000000.0,09:50:00,0,19,2,2024
Greed,60.0,ETH,2372.4,0.1263,299.63,SELL,21.0571,Close Long,-0.023997,True,0.074908,1710000000000.0,04:01:00,0,31,1,2024
Fear,25.0,HYPE,12.6,1155.48,14559.05,SELL,17654.71,Close Long,-14.096856,False,0.727952,1740000000000.0,08:24:00,0,3,4,2025
Extreme Greed,77.0,TRUMP,70.668,1.4,98.94,BUY,-11.4,Close Short,-29.938398,True,0.034627,1740000000000.0,18:35:00,0,19,1,2025
Fear,34.0,SOL,127.91,100.0,12791.0,BUY,-3816.55,Close Short,11.04,True,3.19775,1740000000000.0,00:25:00,1,12,3,2025
Fear,44.0,BTC,95980.0,0.00719,690.1,BUY,0.01417,Open Long,0.0,False,0.034504,1740000000000.0,21:26:00,0,19,2,2025
Greed,63.0,GRIFFAIN,0.050575,1080.0,54.62,BUY,-1080.0,Close Short,4.98528,True,0.019117,1750000000000.0,07:02:00,1,24,4,2025
Extreme Greed,76.0,@107,27.75,1.46,40.52,SELL,2555.696091,Sell,7.153929,False,0.003888,1740000000000.0,04:20:00,1,31,1,2025
Extreme Greed,75.0,@107,25.449,37.05,942.89,BUY,32938.20597,Buy,0.0,True,0.01111497,1730000000000.0,20:21:00,0,19,12,2024
Fear,28.0,HYPE,11.438,175.94,2012.4,BUY,2342.37,Open Long,0.0,True,0.70434,1740000000000.0,18:43:00,0,4,4,2025
Greed,72.0,kBONK,0.0157,7501.0,117.77,BUY,-1641871.0,Close Short,-2.670356,False,0.011776,1750000000000.0,19:07:00,0,23,4,2025
Extreme Fear,16.0,HYPE,20.853,9.59,199.98,SELL,-401.85,Open Short,0.0,True,0.059994,1740000000000.0,05:02:00,0,28,2,2025
Greed,68.0,ETH,3250.7,3.1246,10157.14,SELL,17.6813,Close Long,96.331418,True,3.554998,1720000000000.0,08:38:00,1,26,7,2024
Greed,72.0,FARTCOIN,1.1775,445.9,525.05,BUY,456990.9,Open Long,0.0,True,0.183766,1750000000000.0,03:30:00,0,23,4,2025
Fear,39.0,BTC,80392.0,0.00019,15.27,BUY,-10.35556,Close Short,0.146908,False,0.001465,1740000000000.0,20:53:00,1,10,4,2025
Extreme Greed,83.0,HYPE,19.468,15.24,296.69,SELL,1902.06,Close Long,3.823716,False,0.014834,1730000000000.0,05:24:00,1,14,12,2024
Greed,63.0,BTC,94201.0,0.16613,15649.61,BUY,0.0,Open Long,0.0,True,4.694883,1740000000000.0,04:11:00,0,14,1,2025
Neutral,48.0,BTC,96533.0,0.00604,583.06,BUY,0.21917,Open Long,0.0,False,0.029152,1740000000000.0,18:55:00,0,14,2,2025
Extreme Greed,83.0,HYPE,19.83,0.9,17.85,SELL,332.43,Close Long,0.0891,False,0.000892,1730000000000.0,07:28:00,1,14,12,2024
Fear,30.0,MELANIA,0.418,6685.2,2794.41,SELL,-2075627.1,Open Short,0.0,False,0.268263,1740000000000.0,23:35:00,0,17,4,2025
Extreme Greed,81.0,PENGU,0.03203,1717.0,55.0,SELL,-9760.0,Open Short,0.0,True,0.019248,1730000000000.0,19:48:00,0,18,12,2024
Fear,29.0,BTC,84755.0,0.04505,3818.21,BUY,29.29573,Open Long,0.0,True,0.878188,1740000000000.0,22:08:00,0,16,4,2025
Greed,72.0,FARTCOIN,0.82292,638.0,525.02,SELL,-137487.3,Open Short,0.0,True,0.183758,1740000000000.0,03:59:00,0,29,1,2025
Fear,34.0,HYPE,14.2,413.27,5868.43,SELL,11820.05,Close Long,378.927263,True,1.467108,1740000000000.0,01:40:00,1,12,3,2025
Fear,32.0,@107,16.818,12.5,210.23,SELL,1079.006964,Sell,0.549708,True,0.073578,1750000000000.0,02:48:00,1,19,4,2025
Greed,72.0,ZETA,2.655,41.4,109.92,BUY,-4253.9,Close Short,2.91456,False,-0.002198,1710000000000.0,22:58:00,1,15,2,2024
Greed,72.0,RNDR,5.192,743.5,3860.25,BUY,0.0,Open Long,0.0,False,-0.077205,1710000000000.0,04:05:00,0,16,2,2024
Extreme Fear,20.0,HYPE,14.473,34.55,500.04,SELL,2936.44,Close Long,6.11535,True,0.150012,1740000000000.0,20:46:00,1,10,3,2025
Extreme Fear,23.0,BTC,77461.0,0.00019,14.72,BUY,4.95909,Open Long,0.0,True,0.005151,1740000000000.0,09:43:00,0,7,4,2025
Fear,34.0,HYPE,12.948,38.62,500.05,SELL,1370.14,Close Long,-1.595006,True,0.150015,1740000000000.0,12:12:00,0,18,3,2025
Extreme Greed,77.0,PURR/USDC,0.20878,250.0,52.2,SELL,213740.8547,Sell,2.006116,True,0.018268,1740000000000.0,01:04:00,1,19,1,2025
Extreme Greed,78.0,@107,12.676,167.67,2125.38,BUY,3331.163686,Buy,0.0,True,0.05868444,1730000000000.0,12:47:00,0,9,12,2024
Fear,33.0,BTC,93669.0,0.00036,33.72,SELL,-0.07391,Open Short,0.0,True,0.011329,1740000000000.0,01:31:00,0,3,3,2025
Extreme Greed,75.0,SUI,4.1098,192.4,790.73,BUY,2292.4,Open Long,0.0,False,0.079072,1730000000000.0,08:09:00,0,19,12,2024
Greed,55.0,ETH,2264.3,4.417,10001.41,SELL,13.096,Close Long,2.69437,True,2.500353,1710000000000.0,00:40:00,1,29,1,2024
Fear,38.0,BTC,84164.0,0.00015,12.62,BUY,34.33663,Open Long,0.0,True,0.003156,1740000000000.0,23:52:00,0,15,4,2025
Fear,29.0,LAYER,2.1343,1405.0,2998.69,SELL,-23708.0,Open Short,0.0,False,0.299869,1740000000000.0,23:04:00,0,16,4,2025
Neutral,49.0,HYPE,21.47,2.0,42.94,BUY,103261.74,Open Long,0.0,False,0.004122,1740000000000.0,13:36:00,0,24,2,2025
Extreme Greed,81.0,@107,8.9655,5.58,50.03,BUY,4210.620668,Buy,0.0,True,0.00195293,1730000000000.0,23:51:00,0,1,12,2024
Greed,73.0,AI16Z,2.1041,32.1,67.54,BUY,-283.4,Close Short,2.681634,True,0.023639,1740000000000.0,00:27:00,1,4,1,2025
Neutral,50.0,ONDO,1.3041,415.0,541.2,BUY,15857.0,Open Long,0.0,False,0.02706,1740000000000.0,12:12:00,0,15,2,2025
Neutral,49.0,HYPE,25.715,32.99,848.34,SELL,110.06,Close Long,6.073459,False,0.084833,1740000000000.0,09:33:00,1,6,2,2025
Extreme Greed,75.0,PURR,0.2067,739.0,152.75,SELL,14122.0,Close Long,8.34331,False,0.014664,1740000000000.0,04:40:00,1,24,1,2025
