classification,value,Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Direction,Closed PnL,Crossed,Fee,Timestamp,time,Win,day,month,year
Neutral,49.0,HYPE,22.116,380.43,8413.59,SELL,13697.89,Close Long,84.303288,False,0.807703,1740000000000.0,19:03:00,1,24,2,2025
Extreme Greed,76.0,HYPE,18.046,4.23,76.33,SELL,2509.08,Close Long,1.486845,False,0.003816,1730000000000.0,22:56:00,1,13,12,2024
Extreme Fear,23.0,HYPE,10.713,18.66,199.9,SELL,14144.47,Close Long,-1.677534,True,0.059971,1740000000000.0,20:22:00,0,7,4,2025
Fear,34.0,MELANIA,0.676,613.2,414.52,BUY,-60930.5,Close Short,0.545748,False,0.041452,1740000000000.0,01:57:00,1,18,3,2025
Neutral,47.0,HYPE,24.45,25.37,620.3,BUY,52.05,Open Long,0.0,False,0.031014,1740000000000.0,19:43:00,0,18,2,2025
Neutral,49.0,HYPE,21.474,4.63,99.42,BUY,101813.14,Open Long,0.0,False,0.009544,1740000000000.0,13:36:00,0,24,2,2025
Fear,44.0,ETH,2782.0,1.5828,4403.35,BUY,344.5784,Open Long,0.0,False,0.220167,1740000000000.0,04:56:00,0,3,2,2025
Extreme Greed,75.0,HYPE,25.048,8.0,200.38,SELL,2094.89,Close Long,3.2456,True,0.060115,1730000000000.0,02:46:00,1,19,12,2024
Greed,60.0,WIF,1.0106,500.0,505.3,BUY,8000.0,Open Long,0.0,True,0.176855,1740000000000.0,02:19:00,0,2,2,2025
Fear,26.0,MELANIA,0.618,29.7,18.35,BUY,-564358.3,Close Short,9.021078,False,0.001761,1740000000000.0,11:39:00,1,29,3,2025
Greed,72.0,PURR/USDC,0.19123,0.35001,0.07,SELL,0.35001,Spot Dust Conversion,0.0,True,0.0,1740000000000.0,05:30:00,0,28,1,2025
Greed,63.0,HYPE,18.5,131.42,2431.27,SELL,5358.14,Close Long,16.545778,True,0.850944,1750000000000.0,02:34:00,1,24,4,2025
Greed,72.0,@4,2.312,8.0,18.5,BUY,2610.0,Buy,0.0,True,0.00279,1720000000000.0,01:37:00,0,12,6,2024
Greed,72.0,PURR/USDC,0.11621,860.0,99.94,SELL,10342.53381,Sell,23.0931,True,0.034979,1750000000000.0,20:31:00,1,23,4,2025
Greed,72.0,FARTCOIN,0.8203,3918.5,3214.35,SELL,-586588.0,Open Short,0.0,True,1.12502,1740000000000.0,04:00:00,0,29,1,2025
Extreme Fear,18.0,PAXG,3080.0,0.212,652.96,SELL,-42.323,Open Short,0.0,False,0.062684,1740000000000.0,17:30:00,0,9,4,2025
Neutral,49.0,HYPE,21.476,10.0,214.76,BUY,101271.98,Open Long,0.0,False,0.020616,1740000000000.0,13:36:00,0,24,2,2025
Extreme Fear,24.0,SOL,103.0,4.85,499.55,BUY,0.0,Open Long,0.0,False,0.049955,1740000000000.0,22:57:00,0,8,4,2025
Fear,34.0,PENDLE,3.0362,8.0,24.29,BUY,2139.0,Open Long,0.0,True,0.008501,1740000000000.0,17:33:00,0,6,4,2025
Greed,70.0,ETH,3285.8,0.4204,1381.35,SELL,-121.8354,Open Short,0.0,True,0.414405,1730000000000.0,20:24:00,0,23,12,2024
Fear,34.0,HYPE,15.164,72.54,1100.0,BUY,84593.83,Open Long,0.0,False,0.0,1740000000000.0,00:34:00,0,7,3,2025
Fear,25.0,HYPE,19.842,6.19,122.82,SELL,287288.04,Close Long,0.044568,False,0.005895,1740000000000.0,21:27:00,1,25,2,2025
Extreme Greed,93.0,ETH,3386.8,1.8878,6393.6,BUY,-8.7705,Close Short,118.572718,True,2.23776,1730000000000.0,21:53:00,1,23,11,2024
Extreme Greed,79.0,LTC,89.198,0.59,52.63,BUY,-0.59,Close Short,4.743836,True,0.018419,1730000000000.0,16:53:00,1,26,11,2024
Extreme Fear,20.0,BTC,88634.0,0.54155,47999.74,SELL,-3.84007,Open Short,0.0,True,14.399922,1740000000000.0,15:35:00,0,5,3,2025
Fear,34.0,HYPE,15.093,1.34,20.22,SELL,15442.89,Close Long,0.29413,True,0.006067,1740000000000.0,06:36:00,1,7,3,2025
Fear,26.0,HYPE,13.048,65.16,850.21,BUY,62214.06,Open Long,0.0,True,0.297572,1740000000000.0,03:28:00,0,29,3,2025
Extreme Fear,15.0,HYPE,16.712,37.44,625.7,SELL,11836.5,Close Long,18.73872,True,0.187709,1740000000000.0,12:00:00,1,4,3,2025
Greed,71.0,PURR/USDC,0.16659,263.0,43.81,SELL,95436.35001,Sell,8.318441,True,0.015334,1740000000000.0,07:57:00,1,27,1,2025
Fear,39.0,BTC,85199.0,0.05634,4800.11,SELL,111.62796,Close Long,11.639844,True,1.104025,1750000000000.0,02:17:00,1,21,4,2025
Extreme Greed,79.0,@107,14.428,3.46,49.92,SELL,2347.04743,Sell,36.817032,True,0.017472,1730000000000.0,20:09:00,1,8,12,2024
Greed,62.0,BTC,94462.0,0.07382,6973.18,SELL,0.07382,Close Long,8.67385,True,2.091955,1740000000000.0,02:05:00,1,12,1,2025
Neutral,45.0,HYPE,16.18,11.32,183.16,SELL,529.18,Close Long,20.946528,False,0.018315,1740000000000.0,08:36:00,1,24,3,2025
Extreme Greed,79.0,@107,14.25,111.27,1585.6,SELL,62088.8641,Sell,109.946301,False,0.0,1730000000000.0,18:26:00,1,8,12,2024
Greed,74.0,@107,26.92,126.44,3403.76,SELL,38394.89113,Sell,147.574458,False,0.170188,1730000000000.0,20:41:00,1,20,12,2024
Extreme Greed,87.0,FTT,3.0185,50.0,150.93,SELL,-1548.7,Open Short,0.0,True,0.05071,1730000000000.0,08:21:00,0,17,12,2024
Extreme Greed,84.0,@107,23.2,56.7,1315.44,BUY,54.94528419,Buy,0.0,False,0.00567,1740000000000.0,04:33:00,0,22,1,2025
Fear,33.0,BTC,93931.0,0.01746,1640.04,SELL,1.0441,Close Long,12.37041,True,0.49201,1740000000000.0,01:52:00,1,3,3,2025
Neutral,45.0,HYPE,12.894,50.0,644.7,SELL,3690.74,Close Long,5.84,True,0.193409,1740000000000.0,10:56:00,1,13,3,2025
Extreme Fear,16.0,BTC,83500.0,0.00598,499.33,BUY,0.08116,Open Long,0.0,False,0.047935,1740000000000.0,01:35:00,0,28,2,2025
Neutral,47.0,HYPE,15.715,0.77,12.1,BUY,13684.96,Open Long,0.0,True,0.00363,1740000000000.0,10:13:00,0,26,3,2025
Extreme Greed,78.0,BTC,79456.0,0.00044,34.96,BUY,-0.27617,Close Short,0.188804,True,0.012236,1730000000000.0,20:14:00,1,10,11,2024
Neutral,49.0,JTO,2.8121,5334.0,14999.74,BUY,6747.0,Open Long,0.0,True,5.249909,1740000000000.0,10:28:00,0,6,2,2025
Fear,25.0,HYPE,19.361,2.0,38.72,BUY,239785.18,Open Long,0.0,False,0.001858,1740000000000.0,07:24:00,0,25,2,2025
Greed,70.0,@107,25.374,5.0,126.87,BUY,119.2239686,Buy,0.0,True,0.00174998,1740000000000.0,14:06:00,0,30,1,2025
Neutral,48.0,BTC,39820.0,0.08951,3564.29,BUY,-1.18163,Close Short,-10.633788,True,0.891072,1710000000000.0,05:46:00,0,24,1,2024
Fear,31.0,BTC,83500.0,5.0,417500.0,BUY,57.86266,Open Long,0.0,False,0.0,1740000000000.0,01:09:00,0,14,4,2025
Extreme Fear,23.0,FARTCOIN,0.455,438.8,199.65,SELL,-177339.2,Open Short,0.0,False,0.019965,1740000000000.0,19:14:00,0,7,4,2025
Extreme Fear,15.0,HYPE,17.7,74.14,1312.28,BUY,15771.82,Open Long,0.0,False,0.062988,1740000000000.0,04:53:00,0,4,3,2025
Neutral,50.0,ONDO,1.3665,212.0,289.7,BUY,10055.0,Open Long,0.0,False,0.014484,1740000000000.0,00:35:00,0,13,2,2025
Extreme Fear,18.0,ETH,1582.0,0.35,553.7,SELL,5.882,Close Long,4.06,False,0.05537,1740000000000.0,23:01:00,1,9,4,2025
Neutral,49.0,@23,0.97489,100.0,97.49,BUY,3060.378502,Buy,0.0,True,0.03499984,1740000000000.0,23:46:00,0,24,2,2025
